symbol,exchange,shortName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,messageBoardId,market,longNamecompanyOfficers,twitter,name,startDate,description,maxAge,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,address1,address2,address3,industryinitInvestment,family,categoryName,initAipInvestment,subseqIraInvestment,brokerages,managementInfo,subseqInvestment,legalType,styleBoxUrl,feesExpensesInvestment,feesExpensesInvestmentCat,initIraInvestment,subseqAipInvestment
BAH,NYQ,Booz Allen Hamilton Holding Cor,America/New_York,EST,True,-18000000.0,finmb_160233,us_market,,,,,,1.0,22102,Industrials,27600.0,"Booz Allen Hamilton Holding Corporation provides management and technology consulting, analytics, engineering, digital, mission operations, and cyber solutions to governments, corporations, and not-for-profit organizations in the United States and internationally. The company offers consulting solutions for various domains, business strategies, human capital, and operations. It also provides analytics services, which focuses on delivering transformational solutions in the areas of decision analytics, including operations research and cost estimation; automation; and data science that include predictive modeling and machine learning, as well as new or emerging areas, such as deep learning and artificial intelligence. In addition, the company designs, develops, and implements solutions built on contemporary methodologies and modern architectures; delivers engineering services and solutions to define, develop, implement, sustain, and modernize complex physical systems; and provides cyber risk management solutions, such as prevention, detection, and cost effectiveness. Booz Allen Hamilton Holding Corporation was founded in 1914 and is headquartered in McLean, Virginia.",McLean,703 902 5000,VA,United States,http://www.boozallen.com,8283 Greensboro Drive,,,,,,,,,,,,,,,,
SAM,NYQ,"Boston Beer Company, Inc. (The)",America/New_York,EST,False,-18000000.0,finmb_339946,us_market,,,,,,1.0,02210,Consumer Defensive,2128.0,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States. The company's flagship beer is Samuel Adams Boston Lager. It offers various beers, hard ciders, and hard seltzers under the Samuel Adams, Twisted Tea, Truly Hard Seltzer, Angry Orchard, Dogfish Head, Angel City, Coney Island, Concrete Beach, Wild Leaf, and Tura brand names. The company markets and sells its products to a network of approximately 400 wholesalers in the United States, as well as international wholesalers, importers, or other agencies that in turn sell to retailers, such as grocery stores, club stores, convenience stores, liquor stores, bars, restaurants, stadiums, and other retail outlets. It also sells in products in Canada, Europe, Israel, Australia, New Zealand, the Caribbean, the Pacific Rim, Mexico, and Central and South America. The Boston Beer Company, Inc. was founded in 1984 and is based in Boston, Massachusetts.",Boston,617 368 5000,MA,United States,http://www.bostonbeer.com,One Design Center Place,Suite 850,,,,,,,,,,,,,,,
BWA,NYQ,BorgWarner Inc.,America/New_York,EST,True,-18000000.0,finmb_25708,us_market,,,,,,1.0,48326,Consumer Cyclical,50000.0,"BorgWarner Inc. provides solutions for combustion, hybrid, and electric vehicles worldwide. The company's Engine segment offers turbocharger and turbocharger actuators; eBoosters; and timing systems products, including timing chains, variable cam timing, crankshaft and camshaft sprockets, tensioners, guides and snubbers, front-wheel drive transmission chains, four-wheel drive chains, and hybrid power transmission chains. It also provides emissions systems, such as electric air pumps and exhaust gas recirculation (EGR) modules, EGR coolers and valves, glow plugs, and instant starting systems; thermal systems products comprising viscous fan drives, polymer fans, coolant pumps, cabin heaters, battery heaters, and battery charging; and gasoline ignition technologies. The company's Drivetrain segment offers friction and mechanical products that include dual and friction clutch modules, friction and separator plates, transmission bands, torque converter and one-way clutches, and torsional vibration dampers. It also provides electro-hydraulic solenoids, transmission solenoid modules, and dual clutch control modules; rear-wheel drive/all-wheel drive (AWD) transfer case systems, front wheel drive-AWD coupling systems, and cross-axle coupling systems; starters, alternators, and hybrid electric motors; and motor controllers, battery chargers, and uninterrupted power source systems. The company sells its products to original equipment manufacturers of light vehicles, which comprise passenger cars, sport-utility vehicles, vans, and light trucks; commercial vehicles, including medium-duty and heavy-duty trucks, and buses; and off-highway vehicles, such as agricultural and construction machinery, and marine applications, as well as to tier one vehicle systems suppliers and the aftermarket for light, commercial, and off-highway vehicles. The company was formerly known as Borg-Warner Automotive, Inc. BorgWarner Inc. was founded in 1987 and is headquartered in Auburn Hills, Michigan.",Auburn Hills,248 754 9200,MI,United States,http://www.borgwarner.com,3850 Hamlin Road,,,,,,,,,,,,,,,,
BP,NYQ,BP p.l.c.,America/New_York,EST,False,-18000000.0,finmb_394466,us_market,,,,,,1.0,SW1Y 4PD,Energy,,"BP PLC engages in the energy business worldwide. It operates through three segments: Upstream, Downstream, and Rosneft. The Upstream segment is involved in the oil and natural gas exploration, and field development and production; midstream transportation, storage, and processing; and marketing and trading of liquefied natural gas (LNG), biogas, power, and natural gas liquids (NGLs). This segment also engages in the ownership and management of crude oil and natural gas pipelines; processing facilities and export terminals; and LNG processing facilities and transportation, as well as NGLs processing business. The Downstream segment refines, manufactures, markets, transports, supplies, and trades in crude oil, petroleum, and petrochemical products and related services to wholesale and retail customers. It offers gasoline, diesel, and aviation fuels; lubricants, and related products and services to the automotive, industrial, marine, and energy markets under the Castrol, BP, and Aral brands; and petrochemical products, such as purified terephthalic acid, paraxylene, acetic acid, olefins and derivatives, and specialty petrochemical products. The Rosneft segment engages in the exploration and production of hydrocarbons, as well as jet fuel, bunkering, bitumen, and lubricants activities. This segment also owns and operates 13 refineries in Russia; and approximately 3,000 retail service stations in Russia and internationally. The company also produces ethanol, bio-isobutanol, bio-power, and solar energy; transports hydrocarbon products through time-chartered and spot-chartered vessels; and holds interests in wind sites. BP PLC was founded in 1889 and is headquartered in London, the United Kingdom.",London,44 20 7496 4000,,United Kingdom,http://www.bp.com,1 St James's Square,,,,,,,,,,,,,,,,
BPY,NMS,Brookfield Property Partners L.,America/New_York,EST,True,-18000000.0,finmb_184429319,us_market,,,,,,1.0,HM 12,Real Estate,,"Brookfield Property Partners, through Brookfield Property Partners L.P. and its subsidiary Brookfield Property REIT Inc., is one of the world's premier real estate companies, with approximately $88 billion in total assets. We own and operate iconic properties in the world's major markets, and our global portfolio includes office, retail, multifamily, logistics, hospitality, self-storage, triple net lease, manufactured housing and student housing. Brookfield Property Partners is the flagship listed real estate company of Brookfield Asset Management Inc., a leading global alternative asset manager with over $540 billion in assets under management. More information is available at www.brookfield.com.",Hamilton,441-294-3309,,Bermuda,http://bpy.brookfield.com,73 Front Street,5th Floor,,,,,,,,,,,,,,,
BPT,NYQ,BP Prudhoe Bay Royalty Trust,America/New_York,EST,False,-18000000.0,finmb_335236,us_market,,,,,,1.0,77002,Energy,,"BP Prudhoe Bay Royalty Trust operates as a grantor trust in the United States. The company holds overriding royalty interest comprising a non-operational interest in minerals in the Prudhoe Bay oil field located on the North Slope of Alaska. The Prudhoe Bay field extends approximately 12 miles by 27 miles and contains approximately 150,000 gross productive acres. As of December 31, 2019, its estimated proved reserves were 4.465 million barrels of oil and condensate of which 4.394 million barrels are proved developed reserves; and 0.070 million barrels are proved undeveloped reserves. BP Prudhoe Bay Royalty Trust was founded in 1989 and is based in Houston, Texas.",Houston,713 483 6020,TX,United States,,601 Travis Street,Floor 16,,,,,,,,,,,,,,,
BPTH,NCM,"Bio-Path Holdings, Inc.",America/New_York,EST,False,-18000000.0,finmb_37512626,us_market,,,,,,1.0,77401,Healthcare,9.0,"Bio-Path Holdings, Inc. operates as a clinical and preclinical stage oncology focused RNAi nano particle drug development company in the United States. The company develops products based on DNAbilize, a drug delivery and antisense technology that uses P-ethoxy, which is a deoxyribonucleic acid (DNA) backbone modification intended to protect the DNA from destruction. Its lead drug candidate is prexigebersen, which is in Phase II clinical trials for the treatment of acute myeloid leukemia (AML) and myelodysplastic syndrome; and in Phase IIa clinical trials for the treatment of chronic myeloid leukemia, as well as to treat solid tumors. The company is also developing Liposomal Bcl-2 for the treatment of refractory/relapsed lymphoma and chronic lymphocytic leukemia; and Liposomal STAT3 that is in preclinical stage for the treatment of pancreatic cancer, non-small cell lung cancer, and AML. Bio-Path Holdings, Inc. was founded in 2007 and is based in Bellaire, Texas.",Bellaire,832 742 1357,TX,United States,http://www.biopathholdings.com,4710 Bellaire Boulevard,Suite 210,,,,,,,,,,,,,,,
BPYU,NMS,Brookfield Property REIT Inc.,America/New_York,EST,False,-18000000.0,finmb_328377,us_market,,,,,,1.0,10281,Real Estate,,"Brookfield Property REIT Inc. (ÂBPYUÂ) is a subsidiary of Brookfield Property Partners L.P., (NASDAQ: BPY; TSX: BPY.UN) (ÂBPYÂ) one of the world's premier real estate companies, with approximately $88 billion in total assets. BPYU was created as a public security that is intended to offer economic equivalence to an investment in BPY in the form of a U.S. REIT stock.",New York,212-417-7000,NY,United States,http://www.bpy.brookfield.com,Brookfield Place,250 Vesey Street 15th Floor,,,,,,,,,,,,,,,
BPOP,NMS,"Popular, Inc.",America/New_York,EST,False,-18000000.0,finmb_253660,us_market,,,,,,1.0,00918,Financial Services,8522.0,"Popular, Inc., through its subsidiaries, provides various retail, mortgage, and commercial banking products and services. The company accepts various deposit products. It also offers commercial and industrial loans; commercial real estate loans; residential mortgage loans; consumer loans, including personal loans, credit cards, automobile loans, home equity lines of credit, and other loans to individual borrowers; construction loans; and lease financing comprising automobile loans/leases. In addition, the company provides investment banking, broker-dealer, and insurance services. It also operates 163 branches in Puerto Rico; 49 branches in New York, New Jersey, and Florida; and 10 branches in the Virgin Islands, as well as 622 ATMs in Puerto Rico, 23 ATMs in the Virgin Islands, and 119 ATMs in the United States Mainland. Popular, Inc. was founded in 1893 and is headquartered in Hato Rey, Puerto Rico.",Hato Rey,787-765-9800,PR,United States,http://www.popular.com,209 MuÃ±oz Rivera Avenue,,,,,,,,,,,,,,,,
BPMC,NMS,Blueprint Medicines Corporation,America/New_York,EST,False,-18000000.0,finmb_129802746,us_market,,,,,,1.0,02139-4133,Healthcare,420.0,"Blueprint Medicines Corporation, a precision therapy company, develops drugs of small molecule kinase inhibitors that target genomic drivers in genomically defined cancers, rare diseases, and cancer immunotherapy. The company is developing avapritinib for the treatment of systemic mastocytosis (SM) and gastrointestinal stromal tumors; BLU-263, an orally available, potent, and KIT inhibitor for the treatment of indolent SM and other mast cell disorders; and fisogatinib, an orally available and potent inhibitor, which is in Phase I clinical trials for the treatment of advanced hepatocellular carcinoma. It is also developing pralsetinib, an orally available and potent inhibitor that targets RET, a receptor tyrosine kinase for the treatment of RET-altered non-small cell lung cancer, medullary thyroid carcinoma, and other solid tumors. In addition, the company is developing BLU-782, an oral and investigational activin-like kinase 2 inhibitor, which is in Phase I clinical trials for the treatment of fibrodysplasia ossificans progressive. It has collaboration and license agreements with Clementia Pharmaceuticals, Inc.; CStone Pharmaceuticals; Genentech, Inc.; and F. Hoffmann-La Roche Ltd and Hoffmann-La Roche Inc. The company was formerly known as Hoyle Pharmaceuticals, Inc. and changed its name to Blueprint Medicines Corporation in June 2011. Blueprint Medicines Corporation was founded in 2008 and is headquartered in Cambridge, Massachusetts.",Cambridge,617 374 7580,MA,United States,http://www.blueprintmedicines.com,45 Sidney Street,,,,,,,,,,,,,,,,
BPMP,NYQ,BP Midstream Partners LP,America/New_York,EST,False,-18000000.0,finmb_537139461,us_market,,,,,,1.0,77079,Energy,,"BP Midstream Partners LP owns, acquires, develops, and operates pipelines and other midstream assets in the United States. It owns onshore crude oil pipeline system, onshore refined products pipeline system, onshore diluent pipeline system, refined product terminalling system, and offshore natural gas pipeline system, as well as interests in five offshore crude oil pipeline systems. BP Midstream Partners GP LLC serves as a general partner of BP Midstream Partners LP. The company was founded in 2017 and is based in Houston, Texas.",Houston,281-366-2000,TX,United States,http://www.bp.com/en/global/bp-midstream-partners.html,501 Westlake Park Boulevard,,,,,,,,,,,,,,,,
BPTRX,NAS,Baron Partners Fund,America/New_York,EST,True,-18000000.0,finmb_28126193,us_market,,,,,,1.0,,,,"The investment seeks capital appreciation.
 The fund invests for the long term primarily in equity securities in the form of common stock of U.S. growth companies of any market capitalization. The Adviser seeks to invest in businesses the advisor believes have significant opportunities for growth, sustainable competitive advantages, exceptional management, and an attractive valuation. To take advantage of opportunities to invest, the fund may borrow money from banks (leverage) in an amount up to one-third of its total assets, which include assets purchased with borrowed money. It is non-diversified.",,800-992-2766,,,,Baron Select Funds,767 Fifth Avenue 49th Floor,"New York, NY 10153",,Baron Capital Group,Mid-Cap Growth,5.0,,"['Northwestern Mutual Inv Srvc, LLC', 'Ausdal Financial Partners Inc', 'Cetera Advisors LLC', 'Cetera Advisor Networks LLC', 'UBS Financial Services Inc', 'E TRADE Financial', 'Mid Atlantic Capital Corp', 'Morgan Stanley - Brokerage Accounts', 'Morgan Stanley Advisors', 'Pershing FundCenter', 'Schwab Institutional', 'Td Ameritrade, Inc.', 'TD Ameritrade Institutional Services', 'Scottrade Load', 'Shareholders Services Group', 'JPMorgan', 'Merrill Lynch', 'Vanguard', 'T. Rowe Price', 'TD Ameritrade Trust Company', 'CommonWealth PPS', 'LPL SAM Eligible', 'Fidelity Retail FundsNetwork', 'Fidelity Retail FundsNetwork-NTF', 'Fidelity Institutional FundsNetwork', 'Fidelity Institutional FundsNetwork-NTF', 'Schwab Retail', 'Schwab Retail OneSource & NTF at NAV', 'Schwab Institutional NTF', 'DATALynx', 'DATALynx NTF', 'Dreyfus NTF', 'Ameriprise Brokerage', 'Federated TrustConnect NTF', 'Cetera Advisors LLC- PAM, PRIME, Premier', 'Cetera Advisor Networks LLC- PAM, PRIME, Premier', 'Schwab RPS SDE', 'Nationwide Retirement Resource', 'RBC Wealth Management-Advisory Eligible', 'Ameriprise SPS Advantage', 'CommonWealth NTF', 'Vanguard NTF', 'ETrade No Load Fee', 'SunGard Transaction Network', 'MSSB Retail Fund', 'Raymond James', 'Raymond James WRAP Eligible', 'Bear Stearns No-Load Transaction Fee', 'Commonwealth Universe', 'FTJ FundChoice', 'Robert W. Baird & Co.', 'Bear Stearns NTF', 'Bear Stearns No-Load NTF', 'TRUSTlynx', 'JPMorgan INVEST', 'WFA MF Advisory Updated 6/4/12', 'RBC Wealth Management-Network Eligible', 'Morgan Stanley SB (All Fund )', 'DailyAccess Corporation RTC', 'DailyAccess Corporation FRIAG', 'WR Hambrecht Co LLC', 'Sterne, Agee & Leach, Inc.,', 'JPMorgan INVEST NTF', 'TD Ameritrade NTF', 'TD Ameritrade Instl Services NTF', 'Schwab RPS All', 'ING Financial Ptnrs PAM and PRIME Approv', 'Ameritas NTFN', 'Ameritas NTF P', 'Firstrade NTF', 'Scottrade NTF', 'Standard Retirement Services, Inc.', 'Ameriprise Financial', 'Principal Advantage', 'TIAA-CREF Brokerage Services', 'Fidelity Advisor 401(k) I Shares', 'Thrivent   Advisory Eligible', 'Pershing FundVest NTF', 'Morgan Stanley - Custom Portfolio', 'Morgan Stanley Consulting Group Advisor', 'Morgan Stanley Select UMA', 'Morgan Stanley TRAK Fund Solution', 'Matrix Financial Solutions', 'Trade PMR Transaction Fee', 'Trade PMR NTF', 'DWS Retirement Sevs Investment Offerings', 'Morgan Stanley - Ntwk/Rdm Only-Brokerage', 'TD Ameritrade Retail', 'TD Ameritrade Institutional', 'ING Financial Advisers - SAS Funds', 'NYLIM 401(k) Complete', 'ING Framewor(k)', 'Met Life Resources MFSP Alliance List', 'Mid Atlantic Capital Group', 'HDVest - Wells Fargo', 'Securities America Advisors', 'Bear Stearns', 'Protected Investors of America NTF', 'JP MORGAN NO-LOAD NTF', 'JP MORGAN NTF', 'JP MORGAN NO-LOAD TRANSACTION FEE', 'TD Ameritrade Retail NTF', 'TD Ameritrade Institutional NTF', 'TIAA-CREF NTF', 'MSWM Brokerage', 'Smith Barney Advisor/Portfolio Mngt', 'Smith Barney TRAK', 'Smith Barney Select UMA', 'WFA Fdntl Choice/PIM Updated 6/18/12', 'ADP Access Open Fund Architecture', 'DailyAccess Corporation Mid-Atlantic', 'MSSB DWS', 'MSSB MassMutual', 'RBC Wealth Management-Wrap Eligible', 'E-Plan Services, Inc.', 'Investacorp NTF', 'H Beck Inc.', 'ING Financial Partners Inc.', 'Securities America Inc.', 'Vanguard Load', 'Vanguard TF', 'Morgan Stanley Portfolio Management', 'JP Morgan No Load', 'Merrill Edge', 'DailyAccess Corporation Matrix', 'DailyAccess Corporation Schwab', 'DailyAccess Corporation MATC', 'Fidelity Advisor 401(k) A Shares', 'Cetera Financial Specialists LLC- Premier', 'LPL SWM - 6.18.2020', 'Schwab All (Retail, Instl, Retirement)', 'Schwab OneSource & NTF (No Load & No Transaction Fee)', 'Pershing Retirement Plan Network', 'Ameriprise SPS Advisor', 'Commonwealth (NTF)', 'Commonwealth (PPS/Advisory)', 'Thrivent   Retail Eligible']","{'managerName': 'Ronald  Baron', 'managerBio': 'Ronald Baron is the Founder, Chairman and Chief Executive Officer of BCG and its subsidiaries. BAMCO, established in 1987, is one of its subsidiaries. Mr. Baron has managed money for others on a discretionary basis since 1975. In 1982, he established Baron Capital, Inc. He has over 50 years of research experience. From 1970 to 1982, Ron worked for several brokerage firms as an institutional securities analyst. From 1966 to 1969, Ron worked at the U.S. Patent Office as a patent examiner, while attending George Washington University Law School. From 1965 to 1966, Ron worked at Georgetown University as a teaching fellow in biochemistry. Ron graduated from Bucknell University with a B.A. in Chemistry in 1965.', 'startdate': 1051660800}",0.0,,http://us.i1.yimg.com/us.yimg.com/i/fi/3_0stylelargeeq3.gif,"{'annualHoldingsTurnover': None, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': 0.0222, 'netExpRatio': 0.0222, 'projectionValues': {'5y': 1190, '3y': 694, '10y': 2554}, 'grossExpRatio': 0.0222, 'deferredSalesLoad': None, 'totalNetAssets': None, 'twelveBOne': 0.0025}","{'annualReportExpenseRatio': 0.0116, 'frontEndSalesLoad': 0.0546, 'deferredSalesLoad': 0.0126, 'twelveBOne': None, 'annualHoldingsTurnover': None, 'totalNetAssets': None, 'projectionValuesCat': {'5y': 929.77, '3y': 620.99, '10y': 1805.32}}",,0.5
BQ,NYQ,Boqii Holding Limited,America/New_York,EST,False,-18000000.0,finmb_225625127,us_market,,,,,,1.0,201203,Consumer Cyclical,324.0,"Boqii Holding Limited operates a pet-focused platform in the People's Republic of China. The company offers food, treats, shampoos, cages, toys, apparel, OTC veterinary drugs, and other pet products to pet parents, and small and medium pet businesses through e-commerce platforms and offline distribution network. It also operates Boqii Community, an interactive content platform; and provides online marketing and information services. The company was founded in 2008 and is headquartered in Shanghai, the People's Republic of China.",Shanghai,86 21 6109 6226,,China,http://www.boqii.com,Building 1,"Floor 6 No. 399, Shengxia Road Pudong New District",,,,,,,,,,,,,,,
BQH,NYQ,Blackrock New York Municipal Bo,America/New_York,EST,False,-18000000.0,finmb_3604427,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BQMGX,NAS,Bright Rock Mid Cap Growth Fund,America/New_York,EST,True,-18000000.0,finmb_106626675,us_market,,,,,,1.0,,,,"The investment seeks long-term capital appreciation.
 The fund invests at least 80% of its net assets in equity securities of companies with medium-sized market capitalizations. The adviser defines mid-cap companies as those companies with market capitalizations within the range of companies in the Russell MidcapÂ® Growth Total Return Index at the time of investment. The fund may invest up to 25% of its net assets in securities of foreign mid-cap companies that are traded in the U.S., including companies located in emerging markets, as well as American Depositary Receipts.",,866-273-7223,,,,U.S. Bancorp Fund Services LLC,615 East Michigan St 2nd Floor,Milwaukee WI 53202,,Bright Rock,Mid-Cap Growth,1000.0,,"['Merrill Lynch', 'Vanguard', 'CommonWealth PPS', 'LPL SAM Eligible - 6.18.2020', 'Fidelity Retail FundsNetwork', 'Fidelity Institutional FundsNetwork', 'CommonWealth Core', 'Commonwealth Universe', 'DailyAccess Corporation RTC', 'DailyAccess Corporation FRIAG', 'TD Ameritrade Retail', 'TD Ameritrade Institutional', 'TD Ameritrade Retail NTF', 'TD Ameritrade Institutional NTF', 'Jiangsu Akcome Science & Technology Co Ltd', 'Vanguard TF', 'LPL SWM - 6.18.2020', 'Commonwealth (NTF)', 'Commonwealth (PPS/Advisory)']","{'managerName': 'Douglas S. Butler', 'managerBio': 'Douglas S. Butler, CFAÂ®, CFPÂ® \nDoug Butler has worked in the investment business since 1991. Douglas Butler has served as Director of Research of Rockland Trust since 2004. Prior to joining Rockland Trust, Mr. Butler had a consulting business, specializing in mergers and acquisitions consulting for private manufacturing firms in the Chicago area. Prior to that, Mr. Butler was an equity portfolio manager for Sanford C. Bernstein. Mr. Butler is a CFA charter holder and has also received his designation as a Certified Financial PlannerTM.', 'startdate': 1340841600}",5000.0,,http://us.i1.yimg.com/us.yimg.com/i/fi/3_0stylelargeeq6.gif,"{'annualHoldingsTurnover': None, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': 0.0114, 'netExpRatio': 0.0114, 'projectionValues': {'5y': 628, '3y': 362, '10y': 1386}, 'grossExpRatio': 0.0114, 'deferredSalesLoad': None, 'totalNetAssets': None, 'twelveBOne': None}","{'annualReportExpenseRatio': 0.0116, 'frontEndSalesLoad': 0.0546, 'deferredSalesLoad': 0.0126, 'twelveBOne': None, 'annualHoldingsTurnover': None, 'totalNetAssets': None, 'projectionValuesCat': {'5y': 929.77, '3y': 620.99, '10y': 1805.32}}",,1.0
BQLCX,NAS,Bright Rock Quality Large Cap F,America/New_York,EST,True,-18000000.0,finmb_106626674,us_market,,,,,,1.0,,,,"The investment seeks long-term capital appreciation.
 The fund invests at least 80% of its net assets in equity securities of companies with large-sized market capitalizations. The adviser defines large-cap companies as those companies with market capitalizations within the range of companies in the Russell 1000Â® Index at the time of investment. The fund may invest up to 25% of its net assets in securities of foreign large-cap companies that are traded in the U.S., including companies located in emerging markets, as well as American Depositary Receipts.",,866-273-7223,,,,U.S. Bancorp Fund Services LLC,615 East Michigan St 2nd Floor,Milwaukee WI 53202,,Bright Rock,Large Blend,1000.0,,"['Merrill Lynch', 'Vanguard', 'CommonWealth PPS', 'LPL SAM Eligible - 6.18.2020', 'Fidelity Retail FundsNetwork', 'Fidelity Institutional FundsNetwork', 'CommonWealth Core', 'Commonwealth Universe', 'DailyAccess Corporation RTC', 'DailyAccess Corporation FRIAG', 'TD Ameritrade Retail', 'TD Ameritrade Institutional', 'TD Ameritrade Retail NTF', 'TD Ameritrade Institutional NTF', 'Jiangsu Akcome Science & Technology Co Ltd', 'Vanguard TF', 'LPL SWM - 6.18.2020', 'Commonwealth (NTF)', 'Commonwealth (PPS/Advisory)']","{'managerName': 'Douglas S. Butler', 'managerBio': 'Douglas S. Butler, CFAÂ®, CFPÂ® \nDoug Butler has worked in the investment business since 1991. Douglas Butler has served as Director of Research of Rockland Trust since 2004. Prior to joining Rockland Trust, Mr. Butler had a consulting business, specializing in mergers and acquisitions consulting for private manufacturing firms in the Chicago area. Prior to that, Mr. Butler was an equity portfolio manager for Sanford C. Bernstein. Mr. Butler is a CFA charter holder and has also received his designation as a Certified Financial PlannerTM.', 'startdate': 1274832000}",5000.0,,http://us.i1.yimg.com/us.yimg.com/i/fi/3_0stylelargeeq2.gif,"{'annualHoldingsTurnover': None, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': 0.0087, 'netExpRatio': 0.0087, 'projectionValues': {'5y': 482, '3y': 278, '10y': 1073}, 'grossExpRatio': 0.0087, 'deferredSalesLoad': None, 'totalNetAssets': None, 'twelveBOne': None}","{'annualReportExpenseRatio': 0.009, 'frontEndSalesLoad': 0.051999997, 'deferredSalesLoad': 0.012999999, 'twelveBOne': None, 'annualHoldingsTurnover': None, 'totalNetAssets': None, 'projectionValuesCat': {'5y': 656.22, '3y': 431.43, '10y': 1322}}",,1.0
BQLIX,NAS,Bright Rock Quality Large Cap F,America/New_York,EST,False,-18000000.0,finmb_106626674,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,"{'managerName': None, 'managerBio': None, 'startdate': None}",,,,"{'annualHoldingsTurnover': None, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': None, 'netExpRatio': None, 'projectionValues': None, 'grossExpRatio': None, 'deferredSalesLoad': None, 'totalNetAssets': None, 'twelveBOne': None}","{'annualReportExpenseRatio': None, 'frontEndSalesLoad': None, 'deferredSalesLoad': None, 'twelveBOne': None, 'annualHoldingsTurnover': None, 'totalNetAssets': None, 'projectionValuesCat': None}",,
BQST,PNK,BIOQUEST CORP,America/New_York,EST,False,-18000000.0,finmb_227992743,us_market,,,,,,1.0,92660,Healthcare,,"BioQuest Corp. produces and sells a range of CBD products in the retail, direct, and Internet markets in the United States. The company was formerly known as Select-TV Solutions, Inc. and changed its name to BioQuest Corp. in November 2019. BioQuest Corp. was founded in 2011 and is headquartered in Newport Beach, California. As of October 10, 2019, BioQuest Corp. operates as a subsidiary of Pillar Marketing Group, Inc.",Newport Beach,714-978-4425,CA,United States,http://www.bioquestcorp.com,3700 Campus Drive,Suite 206,,,,,,,,,,,,,,,
BQMIX,NAS,Bright Rock Mid Cap Growth Fund,America/New_York,EST,False,-18000000.0,finmb_106626675,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,"{'managerName': None, 'managerBio': None, 'startdate': None}",,,,"{'annualHoldingsTurnover': None, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': None, 'netExpRatio': None, 'projectionValues': None, 'grossExpRatio': None, 'deferredSalesLoad': None, 'totalNetAssets': None, 'twelveBOne': None}","{'annualReportExpenseRatio': None, 'frontEndSalesLoad': None, 'deferredSalesLoad': None, 'twelveBOne': None, 'annualHoldingsTurnover': None, 'totalNetAssets': None, 'projectionValuesCat': None}",,
BQCNF,PNK,BANQUE CANTONALE VAUDOISE,America/New_York,EST,False,-18000000.0,finmb_874113,us_market,,,,,,1.0,1001,,1896.0,"Banque Cantonale Vaudoise provides a range of financial services in Vaud Canton and rest of Switzerland, the European Union, North America, and internationally. The company offers current, savings, and retirement accounts; credit and payment cards; mortgage, personal, home, business, and construction loans; and production equipment financing products, and working capital and international trade finance products. It also provides a range of banking products, such as investments, financial planning services, and trading through its online platform; and cash management services, as well as instruments for hedging exchange-rate and interest-rate risk; asset management services; and investment and hedging products, such as currencies, equities, bonds, derivatives, and structured products. In addition, the company engages in the market transactions in equities, fixed-income instruments, forex, and precious metals on behalf of clients. Further, it provides life and disability insurance products, and online banking services; manages finances and investments of high-net-worth individuals; tax planning, estate planning, and financial planning; and retirement, life insurance, and disability coverages. The company operates through a network of approximately 63 branches and 220 ATMs. It primarily serves retail and business customers, and public sector institutions. Banque Cantonale Vaudoise was founded in 1845 and is headquartered in Lausanne, Switzerland.",Lausanne,41 844 228 228,,Switzerland,http://www.bcv.ch,Place St-FranÃ§ois 14,Case postale 300,,,,,,,,,,,,,,,
BTQNF,PNK,BQE WTR INC,America/New_York,EST,False,-18000000.0,finmb_3103368,us_market,,,,,,1.0,V6Z 2M4,,,"BQE Water Inc., a water treatment company, provides wastewater treatment services to the mining and metallurgical industry in Canada, the United States, Mexico, Chile, China, and internationally. It offers water treatment solutions for mine drainage, run-off, waste rock seepage, tailings water, groundwater, and lime plant influent and/or effluent streams for treating metals, sulphate, selenium, nitrate, ammonia, and cyanide in the mining sector; smelting and refining services for treating metals and sulphate; and hydrometallurgy services for the treatment of metals, cyanide, and acids. The company's metal recovery and removal technologies include BioSulphide and ChemSulphide technologies, which use biological or chemical sources of sulphide to precipitate dissolved metals from mining wastewater; and Met-IX technology that treats wastewater. It also offers sulphate technologies, such as Sulf-IX and Sulf-IXC, which removes sulphate and hardness from wastewater; selenium removal technology, including Selen-IX that removes selenium from mining wastewater; and cyanide treatment technologies, such as SART, a process technology to remove the metallurgical interference of cyanide-soluble metals in gold cyanidation. The company was formerly known as BioteQ Environmental Technologies Inc. and changed its name to BQE Water Inc. in March 2017. BQE Water Inc. was founded in 1997 and is headquartered in Vancouver, Canada.",Vancouver,604-685-1243,BC,Canada,http://www.bqewater.com,900 Howe Street,Suite 250,,,,,,,,,,,,,,,
BQI RT,ASE,OILSANDS QUEST INC.,America/New_York,EST,False,-18000000.0,,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
